,best_model,base_BIC,perseverance_BIC,PF_BIC,base_LL,perseverance_LL,PF_LL,base_g,base_c,base_alpha,base_gamma,perseverance_g,perseverance_c,perseverance_alpha,perseverance_gamma,PF_g,PF_c,PF_alpha,PF_gamma
participant_1,PF,36.861,41.647,25.035,-13.835,-13.931,-3.327,4.286,0.286,0.0,0.0,5.0,0.286,0.0,0.143,5.0,0.857,1.0,1.0
participant_2,PF,132.29,137.447,114.405,-61.56,-61.846,-48.033,1.429,-0.286,0.0,0.0,1.429,-0.286,0.0,0.429,1.429,0.286,0.571,-1.0
participant_3,PF,102.392,105.016,87.803,-46.601,-45.615,-34.711,3.571,-0.286,0.0,0.0,4.286,-0.286,0.0,-0.429,2.143,0.286,0.429,-1.0
participant_4,PF,72.196,75.388,64.958,-31.555,-30.879,-23.392,2.143,0.286,0.0,0.0,2.143,0.286,0.0,0.143,5.0,0.286,1.0,1.0
participant_5,PF,109.839,110.96,94.74,-50.615,-49.024,-38.762,0.714,0.286,0.0,0.0,0.714,0.286,0.0,-1.0,2.143,0.286,0.571,-1.0
participant_6,PF,114.614,112.39,88.912,-52.732,-49.333,-35.307,1.429,0.286,0.0,0.0,1.429,0.286,0.0,-1.0,2.143,0.286,0.571,-1.0
participant_7,PF,43.542,44.473,39.91,-17.196,-15.374,-10.805,4.286,0.286,0.0,0.0,5.0,0.286,0.0,-0.714,4.286,0.286,0.571,-1.0
participant_8,PF,42.902,46.72,42.857,-16.887,-16.514,-12.3,5.0,0.286,0.0,0.0,4.286,0.286,0.0,-0.429,5.0,0.286,0.571,-1.0
participant_9,PF,53.765,56.327,25.377,-22.308,-21.301,-3.539,2.857,0.286,0.0,0.0,2.857,0.286,0.0,0.143,5.0,0.857,1.0,1.0
participant_10,PF,48.668,51.249,42.063,-19.77,-18.778,-11.903,4.286,0.286,0.0,0.0,4.286,0.286,0.0,-0.714,5.0,0.286,0.571,-1.0
participant_11,PF,60.308,63.756,56.895,-25.559,-24.985,-19.257,2.857,0.286,0.0,0.0,2.857,0.286,0.0,-0.143,3.571,0.286,0.571,-1.0
participant_12,PF,55.765,59.194,51.915,-23.308,-22.735,-16.808,2.857,0.286,0.0,0.0,2.857,0.286,0.0,-0.143,3.571,0.286,0.571,-1.0
participant_13,PF,113.988,116.118,102.606,-52.472,-51.276,-42.26,0.714,0.286,0.0,0.0,0.714,0.286,0.0,1.0,1.429,0.286,0.429,-1.0
participant_14,PF,75.042,74.846,60.372,-32.989,-30.624,-21.121,2.143,0.286,0.0,0.0,2.857,0.286,0.0,-0.714,2.857,0.286,0.571,-1.0
participant_15,PF,54.719,53.373,46.619,-22.775,-19.809,-14.14,4.286,0.286,0.0,0.0,5.0,0.286,0.0,-1.0,3.571,0.286,0.571,-1.0
participant_16,PF,55.439,57.69,30.395,-23.145,-21.983,-6.048,2.857,0.286,0.0,0.0,2.857,0.286,0.0,0.143,5.0,2.0,0.857,1.0
participant_17,PF,47.066,50.801,30.962,-18.948,-18.523,-6.311,5.0,0.286,0.0,0.0,3.571,0.286,0.0,-0.143,3.571,1.429,1.0,1.0
