,true_model,fitted_model
0,base,base
1,perseverance,PF
2,feedback,PF
3,PF,base
4,base,base
5,perseverance,perseverance
6,feedback,base
7,PF,PF
8,base,PF
9,perseverance,PF
10,feedback,PF
11,PF,PF
12,base,base
13,perseverance,PF
14,feedback,PF
15,PF,PF
16,base,PF
17,perseverance,base
18,feedback,PF
19,PF,PF
20,base,PF
21,perseverance,PF
22,feedback,PF
23,PF,PF
24,base,base
25,perseverance,PF
26,feedback,PF
27,PF,PF
28,base,PF
29,perseverance,PF
30,feedback,PF
31,PF,PF
32,base,PF
33,perseverance,PF
34,feedback,PF
35,PF,PF
36,base,PF
37,perseverance,PF
38,feedback,PF
39,PF,PF
